ID,Name,Slug,Start Date,Primary Languages,Workload,Is Part of Specialization
VOh9VY30Eemy8BJY1bt4Jg,ÉCHELLE RACE: Dépistage préhospitalier de l’AVC impliquant une occlusion de gros vaisseaux cérébraux,prestorace-fr,1563811311210,fr,"2 semaines d'étude, entre 2 et 3 heures par semaine",False
n1CCQtguEeqfxApofKyclw,Profit Analysis using Economic Value Added,profit-analysis-economic-value-added,1596820721086,en,1 hour,False
Fq__yk2bEeS5fSIACy-OMw,Introduction to Systems Biology,systems-biology,1445268151636,en,6-8 hours/week,False
04kQ_is8EeyavRI3rIvGvQ,Deep Learning with PyTorch : Image Segmentation ,deep-learning-with-pytorch-image-segmentation,1635806213110,en,2 hours,False
Z2mhMMZtEee2dA7J3c5BSg,Sales Operations: Final Project,sales-operations-final-project,1545167031499,en,,False
ciGA_gd8EeyfCRK_crecDw,Interpreting Machine Learning datasets,interpreting-ml,1630601591034,en,2 Hours,False
KdOvri-GEeWl3A7Kuc0JCQ,"System Validation (4): Modelling Software, Protocols, and other behaviour",system-validation-software-protocols,1482513039216,en,,False
SPXfEJz9EeWILQ7D3uPEMw,Inferential and Predictive Statistics for Business,business-statistics,1466611483943,en,"4 weeks of study, 2-4 hours/week",False
7TKS8O2UEeyelxLaDpYnxw,Emprendimientos creativos,emprendimientos-creativos,1675091270029,es,"3 semanas de estudio, 3 horas/ semana",False
1vZ1g32lEeWb-BLhFdaGww,African cities : An Introduction to Urban Planning,african-cities1,1538376433745,en,5-6 hours/week,False
SihzB6UhEeqCbQ4n-DXNkQ,Relational Modeling in Dia,relational-modeling-in-dia,1592252548780,en,50 minutes,False
P7QYdTQuEeyTERK47a9PLQ,Project Management: How to Create a Gantt Chart in Wrike,project-management-how-to-create-a-gantt-chart-in-wrike,1635523525985,en,1.2 hours,False
kusY1kmfEeqmAw7Qsot8eQ,"Save, Load and Export Models with Keras",save-load-export-keras-models,1581095920894,en,1 hour,False
